"통계분류(1)","통계분류(2)","시점",항목,데이터
"연령","30대","2020",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"연령","30대","2020",기타,0.2
"연령","30대","2020",사전 예약하지 않았음,94.1
"연령","30대","2021",교통수단(항공 선박 철도 버스 등),0.9
"연령","30대","2021",레저시설(놀이시설 스파 스키장 골프장 등),1.5
"연령","30대","2021",식당,0.8
"연령","30대","2021",관광명소(유적지 국립공원 등),0.6
"연령","30대","2021",차량대여/렌트,0.1
"연령","30대","2021",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"연령","30대","2021",기타,0.1
"연령","30대","2021",사전 예약하지 않았음,95.6
"연령","30대","2022",교통수단(항공 선박 철도 버스 등),1.5
"연령","30대","2022",레저시설(놀이시설 스파 스키장 골프장 등),1.8
"연령","30대","2022",식당,0.5
"연령","30대","2022",관광명소(유적지 국립공원 등),0.5
"연령","30대","2022",차량대여/렌트,0.2
"연령","30대","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.6
"연령","30대","2022",기타,0.3
"연령","30대","2022",사전 예약하지 않았음,94.5
"연령","40대","2018",교통수단(항공 선박 철도 버스 등),29.5
"연령","40대","2018",레저시설(놀이시설 스파 스키장 골프장 등),16.2
"연령","40대","2018",식당,39.3
"연령","40대","2018",관광명소(유적지 국립공원 등),11.6
"연령","40대","2018",차량대여/렌트,28.4
"연령","40대","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),1.6
"연령","40대","2018",기타,0.3
"연령","40대","2019",교통수단(항공 선박 철도 버스 등),22
"연령","40대","2019",레저시설(놀이시설 스파 스키장 골프장 등),29.7
"연령","40대","2019",식당,29.6
"연령","40대","2019",관광명소(유적지 국립공원 등),6.2
"연령","40대","2019",차량대여/렌트,4
"연령","40대","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),12.3
"연령","40대","2019",기타,3.2
"연령","40대","2020",교통수단(항공 선박 철도 버스 등),1
"연령","40대","2020",레저시설(놀이시설 스파 스키장 골프장 등),1.2
"연령","40대","2020",식당,1.6
"연령","40대","2020",관광명소(유적지 국립공원 등),0.6
"연령","40대","2020",차량대여/렌트,0.3
"연령","40대","2020",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"연령","40대","2020",기타,0.4
"연령","40대","2020",사전 예약하지 않았음,94.9
"연령","40대","2021",교통수단(항공 선박 철도 버스 등),0.8
"연령","40대","2021",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"연령","40대","2021",식당,1.4
"연령","40대","2021",관광명소(유적지 국립공원 등),0.4
"연령","40대","2021",차량대여/렌트,0.3
"연령","40대","2021",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"연령","40대","2021",기타,0.1
"연령","40대","2021",사전 예약하지 않았음,95.4
"연령","40대","2022",교통수단(항공 선박 철도 버스 등),0.5
"연령","40대","2022",레저시설(놀이시설 스파 스키장 골프장 등),2.1
"연령","40대","2022",식당,1.6
"연령","40대","2022",관광명소(유적지 국립공원 등),0.7
"연령","40대","2022",차량대여/렌트,0
"연령","40대","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"연령","40대","2022",기타,0.1
"연령","40대","2022",사전 예약하지 않았음,95
"연령","50대","2018",교통수단(항공 선박 철도 버스 등),37.6
"연령","50대","2018",레저시설(놀이시설 스파 스키장 골프장 등),12.9
"연령","50대","2018",식당,36
"연령","50대","2018",관광명소(유적지 국립공원 등),11.7
"연령","50대","2018",차량대여/렌트,29.9
"연령","50대","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),3.4
"연령","50대","2018",기타,1.7
"연령","50대","2019",교통수단(항공 선박 철도 버스 등),42.3
"연령","50대","2019",레저시설(놀이시설 스파 스키장 골프장 등),11.3
"연령","50대","2019",식당,32.1
"연령","50대","2019",관광명소(유적지 국립공원 등),13.5
"연령","50대","2019",차량대여/렌트,9.8
"연령","50대","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),2.1
"연령","50대","2019",기타,3
"연령","50대","2020",교통수단(항공 선박 철도 버스 등),1.2
"연령","50대","2020",레저시설(놀이시설 스파 스키장 골프장 등),2
"연령","50대","2020",식당,2.7
"연령","50대","2020",관광명소(유적지 국립공원 등),0.2
"연령","50대","2020",차량대여/렌트,0.1
"연령","50대","2020",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"연령","50대","2020",기타,0
"연령","50대","2020",사전 예약하지 않았음,93.9
"연령","50대","2021",교통수단(항공 선박 철도 버스 등),1.2
"연령","50대","2021",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"연령","50대","2021",식당,1.7
"연령","50대","2021",관광명소(유적지 국립공원 등),0.6
"연령","50대","2021",차량대여/렌트,0.1
"연령","50대","2021",체험 프로그램(농어촌 체험 생태체험 학습 등),0.1
"연령","50대","2021",기타,0
"연령","50대","2021",사전 예약하지 않았음,95
"연령","50대","2022",교통수단(항공 선박 철도 버스 등),1.2
"연령","50대","2022",레저시설(놀이시설 스파 스키장 골프장 등),1.8
"연령","50대","2022",식당,1
"연령","50대","2022",관광명소(유적지 국립공원 등),0.5
"연령","50대","2022",차량대여/렌트,0.2
"연령","50대","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"연령","50대","2022",기타,0.1
"연령","50대","2022",사전 예약하지 않았음,95.4
"연령","60대","2018",교통수단(항공 선박 철도 버스 등),37
"연령","60대","2018",레저시설(놀이시설 스파 스키장 골프장 등),7.2
"연령","60대","2018",식당,32.7
"연령","60대","2018",관광명소(유적지 국립공원 등),18.6
"연령","60대","2018",차량대여/렌트,41.1
"연령","60대","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),1.5
"연령","60대","2018",기타,1.6
"연령","60대","2019",교통수단(항공 선박 철도 버스 등),40.9
"연령","60대","2019",레저시설(놀이시설 스파 스키장 골프장 등),7.3
"연령","60대","2019",식당,32.5
"연령","60대","2019",관광명소(유적지 국립공원 등),14.4
"연령","60대","2019",차량대여/렌트,19.9
"연령","60대","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),5.3
"연령","60대","2019",기타,2.1
"연령","60대","2020",교통수단(항공 선박 철도 버스 등),1.7
"연령","60대","2020",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"연령","60대","2020",식당,3.2
"연령","60대","2020",관광명소(유적지 국립공원 등),0.2
"연령","60대","2020",차량대여/렌트,0.1
"연령","60대","2020",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"연령","60대","2020",기타,0.1
"연령","60대","2020",사전 예약하지 않았음,93.7
"연령","60대","2021",교통수단(항공 선박 철도 버스 등),1
"연령","60대","2021",레저시설(놀이시설 스파 스키장 골프장 등),0.4
"연령","60대","2021",식당,1.6
"연령","60대","2021",관광명소(유적지 국립공원 등),0.1
"연령","60대","2021",차량대여/렌트,0.1
"연령","60대","2021",사전 예약하지 않았음,96.9
"연령","60대","2022",교통수단(항공 선박 철도 버스 등),2
"연령","60대","2022",레저시설(놀이시설 스파 스키장 골프장 등),1.1
"연령","60대","2022",식당,1.6
"연령","60대","2022",관광명소(유적지 국립공원 등),0.5
"연령","60대","2022",차량대여/렌트,0.7
"연령","60대","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.1
"연령","60대","2022",기타,0.2
"연령","60대","2022",사전 예약하지 않았음,94.1
"연령","70세 이상","2018",교통수단(항공 선박 철도 버스 등),32.5
"연령","70세 이상","2018",레저시설(놀이시설 스파 스키장 골프장 등),6.4
"연령","70세 이상","2018",식당,33.8
"연령","70세 이상","2018",관광명소(유적지 국립공원 등),16.5
"연령","70세 이상","2018",차량대여/렌트,40
"연령","70세 이상","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),2.8
"연령","70세 이상","2018",기타,3.9
"연령","70세 이상","2019",교통수단(항공 선박 철도 버스 등),43.4
"연령","70세 이상","2019",레저시설(놀이시설 스파 스키장 골프장 등),5.8
"연령","70세 이상","2019",식당,40.5
"연령","70세 이상","2019",관광명소(유적지 국립공원 등),10
"연령","70세 이상","2019",차량대여/렌트,17.9
"연령","70세 이상","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),2.4
"연령","70세 이상","2019",기타,2.6
