"시점","통계분류(1)","통계분류(2)",항목,데이터
"2019","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.3
"2019","연령","60대",기타,0
"2019","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),88
"2019","연령","70세 이상",교통수단(항공 선박 철도 버스 등),25.9
"2019","연령","70세 이상",차량대여/렌트,7.1
"2019","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),2.3
"2019","연령","70세 이상",식당,4.4
"2019","연령","70세 이상",관광명소(유적지 국립공원 등),2.4
"2019","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),1
"2019","연령","70세 이상",기타,0.9
"2020","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),59.4
"2020","성별","남자",교통수단(항공 선박 철도 버스 등),13
"2020","성별","남자",차량대여/렌트,7
"2020","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),1.9
"2020","성별","남자",식당,0.8
"2020","성별","남자",관광명소(유적지 국립공원 등),0.3
"2020","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.6
"2020","성별","남자",기타,0
"2020","성별","남자",사전 예약하지 않았음,36.8
"2020","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),62.5
"2020","성별","여자",교통수단(항공 선박 철도 버스 등),17.5
"2020","성별","여자",차량대여/렌트,9.9
"2020","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1
"2020","성별","여자",식당,1.5
"2020","성별","여자",관광명소(유적지 국립공원 등),0.6
"2020","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","성별","여자",기타,0
"2020","성별","여자",사전 예약하지 않았음,33.3
"2020","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),45.3
"2020","연령","15~19세",교통수단(항공 선박 철도 버스 등),17.4
"2020","연령","15~19세",차량대여/렌트,4.9
"2020","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),2.5
"2020","연령","15~19세",식당,0.9
"2020","연령","15~19세",관광명소(유적지 국립공원 등),1.1
"2020","연령","15~19세",사전 예약하지 않았음,44.3
"2020","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),72.7
"2020","연령","20대",교통수단(항공 선박 철도 버스 등),19.6
"2020","연령","20대",차량대여/렌트,8.7
"2020","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),1.9
"2020","연령","20대",식당,0.4
"2020","연령","20대",관광명소(유적지 국립공원 등),0.3
"2020","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.6
"2020","연령","20대",사전 예약하지 않았음,21.9
"2020","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),66.4
"2020","연령","30대",교통수단(항공 선박 철도 버스 등),15.2
"2020","연령","30대",차량대여/렌트,9.6
"2020","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.1
"2020","연령","30대",식당,1.2
"2020","연령","30대",관광명소(유적지 국립공원 등),0.7
"2020","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.6
"2020","연령","30대",기타,0
"2020","연령","30대",사전 예약하지 않았음,30.5
"2020","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),58.6
"2020","연령","40대",교통수단(항공 선박 철도 버스 등),13.1
"2020","연령","40대",차량대여/렌트,7.2
"2020","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2020","연령","40대",식당,1.3
"2020","연령","40대",관광명소(유적지 국립공원 등),0.1
"2020","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"2020","연령","40대",기타,0
"2020","연령","40대",사전 예약하지 않았음,37.7
"2020","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),56
"2020","연령","50대",교통수단(항공 선박 철도 버스 등),14.6
"2020","연령","50대",차량대여/렌트,10.1
"2020","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),2.3
"2020","연령","50대",식당,1.3
"2020","연령","50대",관광명소(유적지 국립공원 등),0.7
"2020","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","연령","50대",사전 예약하지 않았음,41.8
"2020","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),50.2
"2020","연령","60대",교통수단(항공 선박 철도 버스 등),11
"2020","연령","60대",차량대여/렌트,5.3
"2020","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),0
"2020","연령","60대",식당,1.7
"2020","연령","60대",관광명소(유적지 국립공원 등),0.6
"2020","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2020","연령","60대",사전 예약하지 않았음,45
"2020","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),31.8
"2020","연령","70세 이상",교통수단(항공 선박 철도 버스 등),16
"2020","연령","70세 이상",차량대여/렌트,10.1
"2020","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),2.1
"2020","연령","70세 이상",식당,2.1
"2020","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","연령","70세 이상",기타,0.2
"2020","연령","70세 이상",사전 예약하지 않았음,63
"2021","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),66
"2021","성별","남자",교통수단(항공 선박 철도 버스 등),15.6
"2021","성별","남자",차량대여/렌트,9.1
"2021","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),1.5
"2021","성별","남자",식당,0.8
"2021","성별","남자",관광명소(유적지 국립공원 등),1
"2021","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2021","성별","남자",사전 예약하지 않았음,30.4
"2021","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),65.1
"2021","성별","여자",교통수단(항공 선박 철도 버스 등),19.9
"2021","성별","여자",차량대여/렌트,12.3
"2021","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1.2
"2021","성별","여자",식당,1.1
"2021","성별","여자",관광명소(유적지 국립공원 등),0.5
"2021","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.7
"2021","성별","여자",기타,0
"2021","성별","여자",사전 예약하지 않았음,31.2
"2021","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),61.9
"2021","연령","15~19세",교통수단(항공 선박 철도 버스 등),23.6
"2021","연령","15~19세",차량대여/렌트,6.4
"2021","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),2
"2021","연령","15~19세",식당,0.6
"2021","연령","15~19세",관광명소(유적지 국립공원 등),1.1
"2021","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),1.3
"2021","연령","15~19세",사전 예약하지 않았음,28.6
"2021","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),75.4
"2021","연령","20대",교통수단(항공 선박 철도 버스 등),23.9
"2021","연령","20대",차량대여/렌트,13.6
"2021","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2021","연령","20대",식당,1.6
"2021","연령","20대",관광명소(유적지 국립공원 등),0.9
"2021","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"2021","연령","20대",사전 예약하지 않았음,20.2
"2021","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),70.5
"2021","연령","30대",교통수단(항공 선박 철도 버스 등),18.4
"2021","연령","30대",차량대여/렌트,12.1
"2021","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2021","연령","30대",식당,0.2
"2021","연령","30대",관광명소(유적지 국립공원 등),0.5
"2021","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.5
"2021","연령","30대",사전 예약하지 않았음,26.5
"2021","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),63.2
"2021","연령","40대",교통수단(항공 선박 철도 버스 등),15.6
"2021","연령","40대",차량대여/렌트,10.6
"2021","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.8
"2021","연령","40대",식당,0.8
"2021","연령","40대",관광명소(유적지 국립공원 등),0.9
"2021","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"2021","연령","40대",기타,0.1
"2021","연령","40대",사전 예약하지 않았음,34.3
"2021","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),61.8
"2021","연령","50대",교통수단(항공 선박 철도 버스 등),15.2
"2021","연령","50대",차량대여/렌트,10.2
"2021","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),1
"2021","연령","50대",식당,1.4
"2021","연령","50대",관광명소(유적지 국립공원 등),0.3
"2021","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2021","연령","50대",사전 예약하지 않았음,34.9
"2021","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),56.1
"2021","연령","60대",교통수단(항공 선박 철도 버스 등),14.3
"2021","연령","60대",차량대여/렌트,7.5
"2021","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2021","연령","60대",식당,0.9
"2021","연령","60대",관광명소(유적지 국립공원 등),1.1
"2021","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2021","연령","60대",사전 예약하지 않았음,40.1
"2021","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),39.1
"2021","연령","70세 이상",교통수단(항공 선박 철도 버스 등),14
"2021","연령","70세 이상",차량대여/렌트,3.1
"2021","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),0.6
"2021","연령","70세 이상",식당,1.2
"2021","연령","70세 이상",관광명소(유적지 국립공원 등),1.1
"2021","연령","70세 이상",사전 예약하지 않았음,53.5
"2022","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),68.5
"2022","성별","남자",교통수단(항공 선박 철도 버스 등),14.3
"2022","성별","남자",차량대여/렌트,8.8
"2022","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),1.7
"2022","성별","남자",식당,1.2
"2022","성별","남자",관광명소(유적지 국립공원 등),0.5
"2022","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","성별","남자",기타,0.1
"2022","성별","남자",사전 예약하지 않았음,28.6
"2022","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),68.7
"2022","성별","여자",교통수단(항공 선박 철도 버스 등),18.4
"2022","성별","여자",차량대여/렌트,11.1
"2022","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2022","성별","여자",식당,1
"2022","성별","여자",관광명소(유적지 국립공원 등),0.4
"2022","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","성별","여자",기타,0
"2022","성별","여자",사전 예약하지 않았음,28.4
"2022","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),67.2
"2022","연령","15~19세",교통수단(항공 선박 철도 버스 등),23.3
"2022","연령","15~19세",차량대여/렌트,9.3
"2022","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),1.1
"2022","연령","15~19세",식당,2.5
"2022","연령","15~19세",관광명소(유적지 국립공원 등),0.7
"2022","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),1
"2022","연령","15~19세",기타,1.1
"2022","연령","15~19세",사전 예약하지 않았음,27.8
"2022","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),77
"2022","연령","20대",교통수단(항공 선박 철도 버스 등),25.5
"2022","연령","20대",차량대여/렌트,13.5
"2022","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),2.5
"2022","연령","20대",식당,0.9
"2022","연령","20대",관광명소(유적지 국립공원 등),0.4
"2022","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2022","연령","20대",사전 예약하지 않았음,18.3
"2022","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),73.6
"2022","연령","30대",교통수단(항공 선박 철도 버스 등),16.9
"2022","연령","30대",차량대여/렌트,10.6
"2022","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2022","연령","30대",식당,0.8
"2022","연령","30대",관광명소(유적지 국립공원 등),0.7
"2022","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","연령","30대",기타,0
"2022","연령","30대",사전 예약하지 않았음,24
"2022","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),69.9
"2022","연령","40대",교통수단(항공 선박 철도 버스 등),12.5
"2022","연령","40대",차량대여/렌트,9.2
"2022","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.5
"2022","연령","40대",식당,0.8
"2022","연령","40대",관광명소(유적지 국립공원 등),0.3
"2022","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","연령","40대",기타,0.1
"2022","연령","40대",사전 예약하지 않았음,28
"2022","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),63.6
"2022","연령","50대",교통수단(항공 선박 철도 버스 등),13.4
"2022","연령","50대",차량대여/렌트,9.7
"2022","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),1
"2022","연령","50대",식당,1.1
"2022","연령","50대",관광명소(유적지 국립공원 등),0.4
"2022","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"2022","연령","50대",사전 예약하지 않았음,34.8
"2022","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),60.5
"2022","연령","60대",교통수단(항공 선박 철도 버스 등),13.4
"2022","연령","60대",차량대여/렌트,7.6
"2022","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),1.8
"2022","연령","60대",식당,2.4
"2022","연령","60대",관광명소(유적지 국립공원 등),0.4
"2022","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","연령","60대",사전 예약하지 않았음,36.2
"2022","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),48
"2022","연령","70세 이상",교통수단(항공 선박 철도 버스 등),13.5
"2022","연령","70세 이상",차량대여/렌트,4.5
"2022","연령","70세 이상",식당,0.7
"2022","연령","70세 이상",관광명소(유적지 국립공원 등),0.3
"2022","연령","70세 이상",사전 예약하지 않았음,46.5
