순위,분류,관련 키워드,언급건수
346,레포츠,naui,1
346,미식,와인투어,1
346,레포츠,케이빙,1
346,레포츠,블롭점프,1
346,체험,호텔체험,1
346,체험,조개체험,1
346,체험,액티비티체험,1
346,체험,양떼목장체험,1
346,체험,딸기수확체험,1
346,체험,한라봉체험,1
346,체험,다례체험,1
346,체험,목판체험,1
